transaction_id,customer_id,transaction_date,transaction_time,hour_of_day,is_weekend,is_night_transaction,country,city,merchant_category,payment_method,device_type,customer_age,credit_score,account_age_years,account_balance,transaction_amount,num_prev_transactions,transaction_freq_monthly,distance_from_home_km,time_since_last_txn_hrs,is_international,failed_attempts,pin_changed_recently,is_fraud,fraud_type
TXN0000000035,CUST00002748,30-03-2021,16:19:00,16,0,0,India,London,Travel,Credit Card,Mobile,32,722,2.1,2377.87,824.35,134,30,34.1,15.96,1,0,0,0,None
TXN0000000036,CUST00123856,09-12-2023,14:45:00,14,1,0,USA,Sydney,Healthcare,Credit Card,Mobile,40,536,3.3,204539.62,309.62,135,22,0.7,22.73,0,3,0,0,None
TXN0000000037,CUST00190223,24-08-2022,04:11:00,4,0,1,USA,Toronto,Healthcare,Debit Card,Mobile,45,669,1.3,2900.79,101.99,155,21,6.9,33.71,0,2,0,0,None
TXN0000000038,CUST00065726,27-02-2021,05:51:00,5,1,1,India,Vancouver,Crypto Exchange,Crypto,Desktop,43,829,3.8,6084.67,56.15,169,12,22.8,28.19,0,2,0,0,None
TXN0000000039,CUST00129982,09-05-2024,07:25:00,7,0,0,Germany,Melbourne,Grocery,Debit Card,ATM,29,688,15.4,5072.17,3.88,154,24,14.7,3.11,0,0,0,0,None
TXN0000000040,CUST00084655,03-01-2023,16:32:00,16,0,0,Brazil,New York,Fuel,Debit Card,Mobile,49,762,7.7,1265.38,20.08,148,19,0.3,5.09,0,1,0,0,None
TXN0000000041,CUST00166846,14-06-2020,03:31:00,3,1,1,Germany,Delhi,ATM Withdrawal,Credit Card,Mobile,44,699,2,675.35,45.65,172,21,10.8,33.16,0,0,0,0,None
TXN0000000042,CUST00119347,19-08-2024,08:44:00,8,0,0,USA,Rio,Entertainment,Credit Card,Tablet,45,648,5.5,19660.32,44.22,174,21,22.3,37.85,0,0,1,0,None
TXN0000000043,CUST00067436,22-09-2024,06:58:00,6,1,1,USA,Delhi,Online Shopping,Credit Card,Mobile,33,571,15.2,14294.4,4.14,143,20,1.9,9.86,0,0,1,0,None
TXN0000000044,CUST00056887,05-05-2022,16:56:00,16,0,0,USA,Manchester,ATM Withdrawal,Mobile Payment,Mobile,55,761,2.8,32900.05,71.78,152,20,14.5,2.71,0,0,0,0,None
TXN0000000045,CUST00066804,11-03-2023,19:32:00,19,1,0,USA,Berlin,Grocery,Bank Transfer,Mobile,60,850,13.3,302.7,12.81,150,17,5.8,9.86,0,0,1,0,None
TXN0000000046,CUST00031552,02-06-2021,00:59:00,0,0,1,India,Munich,Online Shopping,Mobile Payment,POS Terminal,18,796,17.3,14058.04,49.94,138,21,10.9,17.54,0,1,0,0,None
TXN0000000047,CUST00116217,29-09-2024,03:54:00,3,1,1,USA,Toronto,Education,Mobile Payment,Tablet,52,562,2.2,1563.52,71.28,157,20,1.8,20.55,0,0,0,0,None
TXN0000000048,CUST00011395,24-07-2023,07:19:00,7,0,0,Japan,Sydney,Education,Credit Card,Desktop,63,645,10,14298.52,60.98,135,19,6.1,0.93,1,0,0,0,None
TXN0000000049,CUST00069093,19-11-2021,10:24:00,10,0,0,Mexico,London,Grocery,Credit Card,Mobile,48,597,3.7,25659.64,16.79,147,20,18.1,3.6,0,0,0,0,None
TXN0000000050,CUST00003891,18-09-2024,07:00:00,7,0,0,USA,Mexico City,Jewelry,Credit Card,Desktop,25,681,0.4,1481.51,48.76,167,22,62,19.65,0,0,1,0,None
TXN0000000051,CUST00041607,30-04-2020,15:43:00,15,0,0,Brazil,Berlin,Clothing,Debit Card,Tablet,24,785,0.5,2000.24,30.38,170,14,17.1,16.74,0,1,0,0,None
TXN0000000052,CUST00087314,04-10-2020,16:31:00,16,1,0,USA,Melbourne,Crypto Exchange,Debit Card,ATM,27,620,7.8,19465.67,26.62,126,13,9.2,4.43,0,0,0,0,None
TXN0000000053,CUST00141700,09-02-2020,13:36:00,13,1,0,Japan,Ṣo Paulo,Clothing,Credit Card,Mobile,37,777,2,2385.17,55.28,156,18,14.3,56.84,1,0,0,0,None
TXN0000000054,CUST00008793,23-05-2021,18:03:00,18,1,0,Brazil,Tokyo,Education,Credit Card,Desktop,27,622,15.5,85502.03,28.94,139,19,17.8,11.4,0,0,0,0,None
TXN0000000055,CUST00174074,11-11-2023,02:17:00,2,1,1,USA,Munich,Healthcare,Mobile Payment,Mobile,18,766,4.5,4340.03,74.84,156,16,66.1,3.96,0,0,0,0,None
TXN0000000056,CUST00154970,31-12-2021,11:11:00,11,0,0,Canada,Manchester,Entertainment,Debit Card,Mobile,41,567,3.1,38192.51,58.72,148,17,44.2,1.81,0,0,0,0,None
TXN0000000057,CUST00068149,03-06-2020,06:15:00,6,0,1,USA,Mexico City,Clothing,Credit Card,Mobile,37,500,7.9,8845.94,90.94,134,19,8.6,13.39,0,1,0,0,None
TXN0000000058,CUST00124244,27-05-2023,23:07:00,23,1,1,USA,Toronto,Electronics,Bank Transfer,Desktop,54,850,13.1,92790.57,206.17,191,19,39.7,0.13,1,1,0,0,None
TXN0000000059,CUST00120175,03-04-2022,03:02:00,3,1,1,Brazil,Delhi,Gaming,Mobile Payment,POS Terminal,58,635,2.9,9367.53,50.29,154,21,5,15.1,0,3,0,0,None
TXN0000000060,CUST00154556,11-08-2021,00:12:00,0,0,1,USA,Toronto,Restaurant,Cheque,POS Terminal,46,711,30,3811.63,47.8,155,16,1.9,2.29,0,0,0,0,None
TXN0000000061,CUST00124359,26-12-2021,14:27:00,14,1,0,USA,New York,Gaming,Credit Card,Mobile,28,789,4,14428.29,13.5,162,19,0.1,5.79,0,0,0,0,None
TXN0000000062,CUST00048556,17-08-2021,18:29:00,18,0,0,USA,Guadalajara,Education,Bank Transfer,Mobile,48,650,0.4,59813.8,19.17,154,23,8.8,2.22,1,0,0,0,None
TXN0000000063,CUST00017160,14-09-2020,21:51:00,21,0,0,Canada,Vancouver,Crypto Exchange,Crypto,Mobile,20,718,2.6,102271.39,98.6,164,19,4,31.7,0,1,0,0,None
TXN0000000064,CUST00110511,10-03-2022,04:58:00,4,0,1,Brazil,Los Angeles,Travel,Credit Card,Mobile,37,671,1,8549.02,101.78,148,13,3.5,1.92,0,0,0,1,Identity Theft
TXN0000000065,CUST00106531,18-05-2024,11:01:00,11,1,0,USA,Manchester,Clothing,Debit Card,Desktop,33,692,0.3,53392.82,81.96,148,24,14.2,13.62,0,0,0,0,None
TXN0000000066,CUST00080078,10-01-2024,02:17:00,2,0,1,Germany,Guadalajara,Electronics,Mobile Payment,Desktop,26,611,6.8,5604.2,808.77,132,21,1.3,38.3,0,0,0,0,None
TXN0000000067,CUST00035921,02-07-2023,12:47:00,12,1,0,Brazil,Mexico City,Healthcare,Debit Card,Mobile,45,811,8.6,8384.86,13.49,129,19,18,5.09,0,0,0,0,None
TXN0000000068,CUST00198194,29-10-2021,20:53:00,20,0,0,Germany,Guadalajara,Grocery,Mobile Payment,Mobile,32,820,6.4,13879.57,38.86,160,18,25.5,14.06,0,0,0,0,None
TXN0000000069,CUST00019458,03-03-2022,18:33:00,18,0,0,Mexico,Mumbai,Online Shopping,Debit Card,Mobile,38,756,0.9,143520.92,23.5,166,19,5.5,1.98,0,0,0,0,None
TXN0000000070,CUST00197630,13-07-2020,20:46:00,20,0,0,UK,Guadalajara,Jewelry,Credit Card,Mobile,51,655,1.1,14808.91,169.93,159,21,2.7,1.23,1,1,1,0,None
TXN0000000071,CUST00078954,17-10-2021,09:30:00,9,1,0,Canada,New York,Utilities,Debit Card,Desktop,43,716,4.1,8222.47,13.59,157,15,8.7,88.55,0,0,0,0,None
TXN0000000072,CUST00052996,02-08-2021,10:30:00,10,0,0,USA,Manchester,Electronics,Debit Card,Mobile,62,700,2.6,9598.52,96.7,135,20,12.2,1.31,0,0,0,0,None
TXN0000000073,CUST00171830,18-08-2024,09:43:00,9,1,0,Mexico,New York,Education,Debit Card,Mobile,33,442,9.8,21450.89,124.81,149,9,88.6,1.72,0,2,0,1,Account Takeover
TXN0000000074,CUST00009693,05-01-2020,04:00:00,4,1,1,India,Ṣo Paulo,Utilities,Debit Card,Desktop,45,624,2.6,19693.34,82.18,156,19,9.9,2.48,0,0,0,0,None
TXN0000000075,CUST00176831,03-11-2022,15:05:00,15,0,0,USA,Delhi,Entertainment,Debit Card,POS Terminal,69,742,5.4,37360.82,9.41,139,13,77,2.45,0,0,0,0,None
TXN0000000076,CUST00196770,19-03-2023,05:07:00,5,1,1,UK,Toronto,Restaurant,Credit Card,Mobile,28,766,1.6,16818.6,11.7,170,21,5.4,6.85,0,0,1,0,None
TXN0000000077,CUST00037066,21-02-2023,14:04:00,14,0,0,Australia,Tokyo,Restaurant,Debit Card,POS Terminal,44,724,4.4,3260.3,42.04,137,27,25.1,32.25,0,0,0,0,None
TXN0000000078,CUST00099300,08-02-2021,23:12:00,23,0,1,UK,Delhi,Grocery,Debit Card,Mobile,22,572,0.3,142800.14,29.04,137,24,11.7,7.74,0,0,1,0,None
TXN0000000079,CUST00163679,16-04-2024,18:48:00,18,0,0,India,Sydney,Jewelry,Credit Card,Mobile,46,644,0.9,34936.62,270.98,136,24,5.8,12.08,0,0,0,0,None
TXN0000000080,CUST00011535,07-05-2021,09:45:00,9,0,0,Japan,Berlin,Crypto Exchange,Debit Card,Mobile,20,840,4.2,871.55,104.47,139,24,13.3,10.47,0,0,0,0,None
TXN0000000081,CUST00040398,05-02-2024,02:06:00,2,0,1,USA,New York,Fuel,Crypto,Desktop,55,591,8.3,24690.51,25.69,152,20,10.5,27.11,0,0,0,0,None
TXN0000000082,CUST00091388,20-10-2020,08:47:00,8,0,0,Australia,Berlin,Entertainment,Credit Card,Mobile,68,685,0.7,2031.82,106.78,141,22,20.4,10.21,0,0,0,0,None
TXN0000000083,CUST00001017,24-12-2024,04:33:00,4,0,1,USA,Sydney,Gaming,Debit Card,Mobile,38,740,5.4,6406.21,118.55,140,18,14.7,10.5,1,0,1,0,None
TXN0000000084,CUST00055592,10-02-2021,04:33:00,4,0,1,Mexico,Melbourne,ATM Withdrawal,Credit Card,Tablet,25,701,0.1,14283.02,26.26,152,28,4.6,13.75,0,0,0,0,None
TXN0000000085,CUST00023248,11-10-2022,19:44:00,19,0,0,France,Mexico City,Crypto Exchange,Credit Card,Desktop,43,777,0.2,10409.37,193.68,135,22,23.6,6.31,0,0,0,0,None
TXN0000000086,CUST00024301,06-12-2023,07:42:00,7,0,0,Germany,Guadalajara,Utilities,Bank Transfer,Mobile,50,760,1.2,2545.62,36.08,152,21,2,15.95,0,0,0,0,None
TXN0000000087,CUST00082799,09-06-2023,17:19:00,17,0,0,Mexico,Paris,Online Shopping,Crypto,Mobile,28,740,1.1,2536.04,45.26,151,27,6.1,9.51,0,0,0,0,None
TXN0000000088,CUST00009269,20-02-2024,21:52:00,21,0,0,Germany,Sydney,Entertainment,Debit Card,Desktop,27,637,5.6,19140.55,49.81,153,20,44.6,26.48,1,4,0,0,None
TXN0000000089,CUST00086808,02-01-2023,09:41:00,9,0,0,Germany,Delhi,Restaurant,Debit Card,Desktop,21,850,8.1,905.32,24.14,151,23,0.1,3.93,0,0,0,0,None
TXN0000000090,CUST00012186,22-12-2023,02:28:00,2,0,1,USA,Melbourne,Travel,Mobile Payment,Mobile,65,805,12.1,9224.02,1004.62,159,23,55.2,0.51,0,0,0,0,None
TXN0000000091,CUST00194777,29-03-2020,00:51:00,0,1,1,India,Delhi,Education,Debit Card,Mobile,64,579,10.2,3293.03,169.98,147,18,3.8,46,0,0,0,0,None
TXN0000000092,CUST00170172,23-12-2024,21:11:00,21,0,0,UK,Sydney,Crypto Exchange,Debit Card,Mobile,32,600,7.9,2145.64,26.02,166,21,8,7.42,1,5,0,0,None
TXN0000000093,CUST00139644,05-01-2020,20:09:00,20,1,0,India,Berlin,Clothing,Debit Card,Mobile,62,768,10.5,49190.7,39.7,121,16,50.9,23.25,1,0,1,0,None
TXN0000000094,CUST00038045,31-10-2020,15:08:00,15,1,0,France,Osaka,Online Shopping,Bank Transfer,Mobile,28,645,2.2,5331.01,85.21,169,21,2.5,41.41,0,1,0,0,None
TXN0000000095,CUST00051215,12-03-2022,09:54:00,9,1,0,UK,Mumbai,Fuel,Debit Card,Tablet,46,628,5.5,7807.88,23.4,153,21,1.5,6.77,0,0,0,0,None
TXN0000000096,CUST00192301,26-04-2023,13:48:00,13,0,0,Germany,Paris,Travel,Bank Transfer,Desktop,69,750,17.7,47615.97,335.35,172,19,5.7,49.96,1,0,0,0,None
TXN0000000097,CUST00114753,21-08-2024,23:34:00,23,0,1,Brazil,Lyon,Travel,Mobile Payment,Mobile,58,671,8.1,52503,200.54,149,23,10.7,21.88,0,0,0,0,None
TXN0000000098,CUST00048985,30-10-2023,08:22:00,8,0,0,USA,Melbourne,Crypto Exchange,Credit Card,Mobile,32,850,1.6,1485.4,21.1,162,22,43.5,16.84,0,0,0,0,None
TXN0000000099,CUST00040775,07-06-2021,21:00:00,21,0,0,Canada,Melbourne,Clothing,Debit Card,Mobile,48,695,6.3,13550.44,194.24,137,22,19.2,7.65,0,0,0,0,None
TXN0000000100,CUST00002569,29-07-2020,14:02:00,14,0,0,UK,Guadalajara,Fuel,Credit Card,Mobile,62,732,0.5,52656.79,159.13,155,19,15.1,11.72,0,0,0,0,None
TXN0000000101,CUST00120152,07-05-2021,15:04:00,15,0,0,Germany,Berlin,Travel,Debit Card,Desktop,54,556,3.9,12326.02,287.38,151,22,9.3,67.77,0,0,0,0,None
TXN0000000102,CUST00193665,18-09-2021,02:38:00,2,1,1,India,Mumbai,Grocery,Credit Card,Mobile,39,742,1.4,14888.52,13.66,140,19,0.4,7,0,0,0,0,None
TXN0000000103,CUST00198636,22-07-2024,19:28:00,19,0,0,USA,Sydney,Utilities,Debit Card,Mobile,48,699,0.4,11866.76,20.35,178,27,21.7,54.14,0,0,0,0,None
TXN0000000104,CUST00133768,11-02-2023,17:45:00,17,1,0,Japan,Ṣo Paulo,Clothing,Credit Card,Mobile,22,760,3.4,21594.67,17.95,151,22,42.4,1.09,0,0,0,0,None
TXN0000000105,CUST00124376,26-07-2024,01:35:00,1,0,1,India,Rio,Grocery,Debit Card,Mobile,70,660,7.7,3368.43,246.7,136,6,2.8,14.78,1,0,0,0,None
TXN0000000106,CUST00179263,05-11-2021,12:16:00,12,0,0,Brazil,Rio,Gaming,Bank Transfer,Desktop,22,604,1.7,3731.73,44.19,150,31,6.7,4.91,0,0,0,0,None
TXN0000000107,CUST00136331,15-03-2020,15:19:00,15,1,0,Japan,Delhi,Grocery,Debit Card,Mobile,21,758,4.9,667.96,88.88,134,24,43.1,0.15,0,0,0,1,Friendly Fraud
TXN0000000108,CUST00039505,10-04-2024,08:41:00,8,0,0,UK,Paris,Restaurant,Bank Transfer,Tablet,68,710,4.6,2850.7,11.69,143,25,13.3,1.51,0,0,0,0,None
TXN0000000109,CUST00164232,02-10-2024,09:24:00,9,0,0,USA,Ṣo Paulo,Gaming,Credit Card,Mobile,24,557,0.5,55953.29,5.49,160,18,27.6,0.81,0,0,0,0,None
TXN0000000110,CUST00013987,13-11-2020,13:24:00,13,0,0,Japan,Munich,Restaurant,Debit Card,Desktop,57,531,4.8,3688.09,115.04,134,22,10.8,5.91,0,2,1,0,None
TXN0000000111,CUST00061859,26-04-2024,07:51:00,7,0,0,Canada,Mexico City,Education,Mobile Payment,Desktop,37,665,1.3,23812.92,76.05,154,20,24.9,0.47,0,0,0,0,None
TXN0000000112,CUST00129313,02-07-2020,11:23:00,11,0,0,USA,Ṣo Paulo,ATM Withdrawal,Debit Card,Mobile,62,519,9.1,1126.51,86.13,148,18,21.2,14.96,0,0,0,0,None
TXN0000000113,CUST00012667,28-04-2022,02:20:00,2,0,1,USA,Mumbai,Jewelry,Debit Card,Desktop,42,674,4.4,17513.39,1098.02,171,21,8.9,2.8,0,0,0,0,None
TXN0000000114,CUST00038661,30-10-2022,23:23:00,23,1,1,Brazil,Mumbai,ATM Withdrawal,Mobile Payment,Mobile,39,604,2.9,1580.8,23.18,147,20,51.2,5.35,0,1,0,0,None
TXN0000000115,CUST00134634,24-11-2020,04:04:00,4,0,1,USA,Delhi,Online Shopping,Debit Card,Mobile,49,645,4.5,4979.03,211.11,169,16,36.5,7.94,0,0,0,0,None
TXN0000000116,CUST00026855,07-07-2023,02:01:00,2,0,1,Germany,Melbourne,Clothing,Mobile Payment,Desktop,32,611,3.2,13947.93,26.51,138,20,34.2,0.37,0,0,0,0,None
TXN0000000117,CUST00064506,03-07-2022,07:30:00,7,1,0,USA,Delhi,Grocery,Crypto,ATM,18,747,3.1,3602.58,133.41,161,20,6.8,10.93,0,0,0,0,None
TXN0000000118,CUST00104489,09-02-2021,21:44:00,21,0,0,Canada,Toronto,Jewelry,Debit Card,POS Terminal,27,662,1.6,12421.22,73.4,164,10,1,2.84,0,0,0,0,None
TXN0000000119,CUST00183324,20-09-2022,15:10:00,15,0,0,Canada,Ṣo Paulo,Clothing,Crypto,POS Terminal,41,695,8.4,8370.99,6.89,154,23,20,3.06,0,0,0,0,None
TXN0000000120,CUST00022663,28-12-2023,05:04:00,5,0,1,India,Ṣo Paulo,ATM Withdrawal,Credit Card,POS Terminal,29,765,2.3,1210.95,22.06,155,29,38,23.67,0,0,0,1,Identity Theft
TXN0000000121,CUST00008393,04-07-2020,09:39:00,9,1,0,France,Ṣo Paulo,Restaurant,Debit Card,POS Terminal,43,566,4.3,8968.29,123.47,164,18,1,10.92,1,0,0,0,None
TXN0000000122,CUST00030536,05-01-2022,20:46:00,20,0,0,UK,Rio,Gaming,Bank Transfer,ATM,54,620,8.3,21364.09,46.59,147,24,3.8,12.06,0,0,0,0,None
TXN0000000123,CUST00113570,30-06-2022,13:51:00,13,0,0,Mexico,London,Education,Mobile Payment,Desktop,62,595,4,3211.16,113.83,168,22,11.9,0.18,0,3,1,0,None
TXN0000000124,CUST00052257,21-05-2022,07:14:00,7,1,0,Germany,Lyon,ATM Withdrawal,Crypto,Mobile,28,670,4.6,1109.8,22.25,151,20,16.4,17.97,1,1,0,0,None
TXN0000000125,CUST00089136,21-10-2023,07:19:00,7,1,0,UK,Los Angeles,Grocery,Credit Card,Mobile,52,661,1.2,1858.08,32.79,146,17,35.5,17.22,0,0,0,0,None
TXN0000000126,CUST00127479,19-08-2022,23:46:00,23,0,1,USA,Delhi,Restaurant,Debit Card,Mobile,43,672,2.2,17649,86.61,164,20,0.3,0.83,0,5,0,0,None
TXN0000000127,CUST00035223,21-04-2021,01:08:00,1,0,1,UK,Tokyo,Gaming,Credit Card,Mobile,55,715,4.3,8115.35,124.9,151,27,33.7,3.28,0,0,1,1,Account Takeover
TXN0000000128,CUST00077374,10-05-2021,15:33:00,15,0,0,Germany,Sydney,Travel,Bank Transfer,Mobile,29,777,2.5,635.85,403.37,151,17,8.2,31.28,0,1,0,0,None
TXN0000000129,CUST00123685,04-01-2024,16:26:00,16,0,0,Canada,Toronto,Healthcare,Debit Card,Desktop,18,726,3.1,35825.89,28.08,147,14,26.1,24.59,0,0,0,0,None
TXN0000000130,CUST00194408,01-10-2020,13:40:00,13,0,0,USA,Guadalajara,Entertainment,Credit Card,Desktop,42,616,0.2,20681.11,133.48,131,19,16.7,9.45,1,0,0,0,None
TXN0000000131,CUST00010966,25-08-2024,15:15:00,15,1,0,USA,Manchester,Gaming,Debit Card,Mobile,25,622,8.6,21918.25,33.92,160,19,27.9,15.2,0,0,0,0,None
TXN0000000132,CUST00024539,11-04-2021,18:44:00,18,1,0,USA,London,Grocery,Debit Card,Desktop,42,764,3.6,897.41,250.55,152,17,1.5,45.32,0,0,0,0,None
TXN0000000133,CUST00108067,13-07-2022,03:06:00,3,0,1,France,Manchester,Online Shopping,Bank Transfer,ATM,26,669,0.5,5451.56,36.02,152,18,33.1,4.06,0,2,0,0,None
TXN0000000134,CUST00113253,07-01-2022,08:10:00,8,0,0,USA,London,Clothing,Credit Card,Mobile,52,669,12.6,25024.34,63.35,132,16,88.8,8.7,0,0,0,0,None
TXN0000000135,CUST00139183,03-06-2023,05:24:00,5,1,1,USA,Toronto,Online Shopping,Mobile Payment,Mobile,46,558,6.8,47365.89,41.65,160,17,55,36.82,0,0,0,0,None
TXN0000000136,CUST00158339,24-03-2021,23:45:00,23,0,1,USA,London,Utilities,Credit Card,Tablet,18,714,8.1,11988.66,232.56,150,12,22.2,1.83,1,0,0,1,Phishing
TXN0000000137,CUST00184065,16-06-2022,09:29:00,9,0,0,UK,Melbourne,Education,Credit Card,Tablet,45,650,10.3,80941.67,1.94,160,16,23.4,7.05,1,0,0,0,None
